"essai","date","journal","groupe","libelle","adresse_hex","adresse_dec","rva_hex","avant_u32","apres_u32","avant_float","apres_float","verifie","statut"
"ClankSaw mouvement","15/09/2026 21:14:59","clanksaw-movement-result.json","table mouvement vehicule","current forward velocity; restore only while still suspended in this snapshot","0x09CB3B00","164313856","","1033683413","1025294805","0,07654158","0,03827079","True","perdu a la fermeture de PPSSPP"
"ClankSaw rotation","15/09/2026 22:53:47","clanksaw-rotation-result.json","table mouvement vehicule","pas angulaire x0.5 (table+8)","0x09438BA0","155421600","","1033951612","1025563004","0,07853982","0,03926991","True","perdu a la fermeture de PPSSPP"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Electro normal forward cap","0x09438684","155420292","","1045220558","1036831950","0,20000002","0,10000001","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Electro normal reverse cap","0x09438688","155420296","","1045220558","1036831950","0,20000002","0,10000001","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Electro normal turn step","0x0943868C","155420300","","1033951612","1025563004","0,07853982","0,03926991","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Electro normal forward accel","0x09438690","155420304","","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Electro normal reverse accel","0x09438694","155420308","","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Electro normal brake","0x09438698","155420312","","1010174818","993397602","0,011111112","0,002777778","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Electro normal coast","0x0943869C","155420316","","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram normal forward cap","0x094388E0","155420896","","1049135241","1040746633","0,26666668","0,13333334","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram normal reverse cap","0x094388E4","155420900","","1039068912","1030680304","0,116666675","0,058333337","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram normal turn step","0x094388E8","155420904","","1029076817","1020688209","0,052359883","0,026179941","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram normal forward accel","0x094388EC","155420908","","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram normal reverse accel","0x094388F0","155420912","","993397602","976620386","0,002777778","0,0006944445","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram normal brake","0x094388F4","155420916","","1010174818","993397602","0,011111112","0,002777778","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram normal coast","0x094388F8","155420920","","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","ClankSaw two float countdowns","0x09278C9C","153586844","","1007009664","1007009536","0,008163333","0,008163214","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","EnemyElectro countdown E8","0x0928B284","153662084","","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","EnemyElectro second float countdown","0x0928B388","153662344","","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","EnemyRam countdown","0x0928C640","153667136","","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","EnemyRam second countdown","0x0928C78C","153667468","","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","ObstacleSaw cycle timer","0x092B1730","153818928","","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","ObstacleVent cycle timer","0x092B256C","153822572","","1007140736","1007140608","0,008285403","0,008285284","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","SpinningFloor angular increment","0x0943418C","155402636","","1045854033","1037465425","0,20943953","0,104719765","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Vent fade-in increment","0x09434258","155402840","","1032358025","1023969417","0,06666667","0,033333335","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Vent fade-out increment","0x0943425C","155402844","","1032358025","1023969417","0,06666667","0,033333335","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram charge cap forward","0x0943890C","155420940","","1053609166","1045220558","0,40000004","0,20000002","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram charge cap reverse","0x09438910","155420944","","1039068912","1030680304","0,116666675","0,058333337","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram charge turn","0x09438914","155420948","","1029076817","1020688209","0,052359883","0,026179941","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram charge acceleration","0x09438918","155420952","","1045220559","1028443343","0,20000003","0,05000001","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram charge reverse accel","0x0943891C","155420956","","993397602","976620386","0,002777778","0,0006944445","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram charge brake","0x09438920","155420960","","1018563426","1001786210","0,022222225","0,005555556","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram charge coast","0x09438924","155420964","","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram impulse low","0x09438894","155420820","","3201092814","3192704206","-0,40000004","-0,20000002","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram impulse high","0x094388A0","155420832","","3206125978","3197737370","-0,6","-0,3","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","ClankSaw active/recharge integer durations","0x0942E168","155378024","","983091","1966182","1,377604E-39","2,755208E-39","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Ram charge/recharge integer durations","0x09438940","155420992","","4915215","9830430","6,887683E-39","1,3775366E-38","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Saw retraction animation divisor","0x092EEEE4","154070756","","1006911984","1006912112","0,008072361","0,008072481","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","Saw extension animation divisor","0x092EEF9C","154070940","","1006911984","1006912112","0,008072361","0,008072481","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","current EnemyElectroTorso speed; dynamic value, rollback only before execution","0x09CB3CC0","164314304","","1021885506","1013496898","0,02841008","0,01420504","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","current EnemyRamTorso speed; dynamic value, rollback only before execution","0x09CB4420","164316192","","1034594988","1026206380","0,08333334","0,04166667","True","perdu ; reintegre au plugin"
"Arène Metalis (lot 1)","15/09/2026 23:09:57","arena-batch-result.json","arene/divers","current EnemyRamTorso speed; dynamic value, rollback only before execution","0x09CB4538","164316472","","3154675850","3146287242","-0,008333335","-0,0041666673","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Electro normal forward cap","0x09438684","155420292","0x2EC984","1045220558","1036831950","0,20000002","0,10000001","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Electro normal reverse cap","0x09438688","155420296","0x2EC988","1045220558","1036831950","0,20000002","0,10000001","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Electro normal turn step","0x0943868C","155420300","0x2EC98C","1033951612","1025563004","0,07853982","0,03926991","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Electro normal forward accel","0x09438690","155420304","0x2EC990","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Electro normal reverse accel","0x09438694","155420308","0x2EC994","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Electro normal brake","0x09438698","155420312","0x2EC998","1010174818","993397602","0,011111112","0,002777778","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Electro normal coast","0x0943869C","155420316","0x2EC99C","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram normal forward cap","0x094388E0","155420896","0x2ECBE0","1049135241","1040746633","0,26666668","0,13333334","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram normal reverse cap","0x094388E4","155420900","0x2ECBE4","1039068912","1030680304","0,116666675","0,058333337","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram normal turn step","0x094388E8","155420904","0x2ECBE8","1029076817","1020688209","0,052359883","0,026179941","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram normal forward accel","0x094388EC","155420908","0x2ECBEC","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram normal reverse accel","0x094388F0","155420912","0x2ECBF0","993397602","976620386","0,002777778","0,0006944445","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram normal brake","0x094388F4","155420916","0x2ECBF4","1010174818","993397602","0,011111112","0,002777778","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram normal coast","0x094388F8","155420920","0x2ECBF8","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","ClankSaw two float countdowns","0x09278C9C","153586844","0x12CF9C","1007009664","1007009536","0,008163333","0,008163214","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","EnemyElectro countdown E8","0x0928B284","153662084","0x13F584","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","EnemyElectro second float countdown","0x0928B388","153662344","0x13F688","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","EnemyRam countdown","0x0928C640","153667136","0x140940","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","EnemyRam second countdown","0x0928C78C","153667468","0x140A8C","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","ObstacleSaw cycle timer","0x092B1730","153818928","0x165A30","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","ObstacleVent cycle timer","0x092B256C","153822572","0x16686C","1007140736","1007140608","0,008285403","0,008285284","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","SpinningFloor angular increment","0x0943418C","155402636","0x2E848C","1045854033","1037465425","0,20943953","0,104719765","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Vent fade-in increment","0x09434258","155402840","0x2E8558","1032358025","1023969417","0,06666667","0,033333335","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Vent fade-out increment","0x0943425C","155402844","0x2E855C","1032358025","1023969417","0,06666667","0,033333335","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram charge cap forward","0x0943890C","155420940","0x2ECC0C","1053609166","1045220558","0,40000004","0,20000002","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram charge cap reverse","0x09438910","155420944","0x2ECC10","1039068912","1030680304","0,116666675","0,058333337","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram charge turn","0x09438914","155420948","0x2ECC14","1029076817","1020688209","0,052359883","0,026179941","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram charge acceleration","0x09438918","155420952","0x2ECC18","1045220559","1028443343","0,20000003","0,05000001","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram charge reverse accel","0x0943891C","155420956","0x2ECC1C","993397602","976620386","0,002777778","0,0006944445","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram charge brake","0x09438920","155420960","0x2ECC20","1018563426","1001786210","0,022222225","0,005555556","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram charge coast","0x09438924","155420964","0x2ECC24","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram impulse low","0x09438894","155420820","0x2ECB94","3201092814","3192704206","-0,40000004","-0,20000002","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram impulse high","0x094388A0","155420832","0x2ECBA0","3206125978","3197737370","-0,6","-0,3","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","ClankSaw active/recharge integer durations","0x0942E168","155378024","0x2E2468","983091","1966182","1,377604E-39","2,755208E-39","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Ram charge/recharge integer durations","0x09438940","155420992","0x2ECC40","4915215","9830430","6,887683E-39","1,3775366E-38","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Saw retraction animation divisor","0x092EEEE4","154070756","0x1A31E4","1006911984","1006912112","0,008072361","0,008072481","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-arena","Saw extension animation divisor","0x092EEF9C","154070940","0x1A329C","1006911984","1006912112","0,008072361","0,008072481","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-player","forward cap","0x09438B98","155421592","0x2ECE98","1045220558","1036831950","0,20000002","0,10000001","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-player","reverse cap","0x09438B9C","155421596","0x2ECE9C","1032358025","1023969417","0,06666667","0,033333335","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-player","forward acceleration","0x09438BA4","155421604","0x2ECEA4","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-player","reverse acceleration","0x09438BA8","155421608","0x2ECEA8","993397602","976620386","0,002777778","0,0006944445","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-player","braking","0x09438BAC","155421612","0x2ECEAC","1010174818","993397602","0,011111112","0,002777778","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-player","coasting deceleration","0x09438BB0","155421616","0x2ECEB0","1001786210","985008994","0,005555556","0,001388889","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","prior-player","Clank turn","0x09438BA0","155421600","0x2ECEA0","1033951612","1025563004","0,07853982","0,03926991","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","new-crates","TeleporterHealth countdown","0x0928149C","153621660","0x13579C","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","new-crates","TeleporterPowerup countdown","0x092819F0","153623024","0x135CF0","1006944128","1006944000","0,008102298","0,008102179","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json","new-crates","Teleport emitter elapsed seconds","0x091B2D60","152776032","0x67060","1007041800","1007041672","0,008193262","0,008193143","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json",,"ClankSawTorso current forward velocity","0x09CB3B00","164313856","","3182701206","3174312598","-0,08797185","-0,043985926","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json",,"EnemyElectroTorso current forward velocity","0x09CB3CC0","164314304","","1041883104","1033494496","0,15026808","0,07513404","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json",,"EnemyRamTorso current forward velocity","0x09CB4420","164316192","","1034594988","1026206380","0,08333334","0,04166667","True","perdu ; reintegre au plugin"
"Caisses + reprise arène","16/09/2026 21:05:38","resume-crates-result-1789592738689.json",,"EnemyRamTorso current forward velocity","0x09CB4538","164316472","","3149269858","3140881250","-0,005555556","-0,002777778","True","perdu ; reintegre au plugin"
"Debris collision","16/09/2026 21:08:25","debris-collision-1789592905266.json","cave plugin (mot 34)","dt collision debris 1.0 -> 0.5","0x089679C8","144079304","","1006911360","1006911232","0,00807178","0,008071661","True","perdu a la fermeture de PPSSPP"
"Collecte Nano/munitions","16/09/2026 21:13:51","pickup-collection-1789593231151.json","collecte","Nanotech attraction timer -1 -> -0.5","0x09280FFC","153620476","0x1352FC","1006944128","1006944000","0,008102298","0,008102179","True","perdu a la fermeture de PPSSPP"
"Collecte Nano/munitions","16/09/2026 21:13:51","pickup-collection-1789593231151.json","collecte","Nanotech fade timer -1 -> -0.5","0x0927FDA4","153615780","0x1340A4","1007009664","1007009536","0,008163333","0,008163214","True","perdu a la fermeture de PPSSPP"
"Collecte Nano/munitions","16/09/2026 21:13:51","pickup-collection-1789593231151.json","collecte","pickup initial speed","0x0942F244","155382340","0x2E3544","1036831950","1028443342","0,10000001","0,050000004","True","perdu a la fermeture de PPSSPP"
"Collecte Nano/munitions","16/09/2026 21:13:51","pickup-collection-1789593231151.json","collecte","pickup acceleration","0x0942F254","155382356","0x2E3554","1031127696","1014350480","0,060000002","0,015000001","True","perdu a la fermeture de PPSSPP"
"Collecte Nano/munitions","16/09/2026 21:13:51","pickup-collection-1789593231151.json","collecte","pickup max speed","0x0942F258","155382360","0x2E3558","1051372203","1042983595","0,33333334","0,16666667","True","perdu a la fermeture de PPSSPP"
"Collecte Nano/munitions","16/09/2026 21:13:51","pickup-collection-1789593231151.json","collecte","pickup steering below cap","0x0942F25C","155382364","0x2E355C","1034147594","1025982779","0,08","0,040833693","True","perdu a la fermeture de PPSSPP"
"Collecte Nano/munitions","16/09/2026 21:13:51","pickup-collection-1789593231151.json","collecte","pickup steering at cap","0x0942F260","155382368","0x2E3560","1045220557","1037579919","0,2","0,10557281","True","perdu a la fermeture de PPSSPP"
